user_id,purchase_id,purchase_date,purchase_amount,product_category,payment_method,region,is_returning_customer,discount_used,days_since_last_purchase,user_age_group
2869,PUR-34384,2023-06-14 19:58:25.488674904,226.71,Electronics,Card,North America,1,0,301.0,25-34
1432,PUR-36696,2022-11-24 09:26:39.599938756,73.37,Home,PayPal,Australia,0,0,,45+
1837,PUR-80018,2023-01-17 07:58:19.652951332,426.18,,Crypto,North America,1,0,74.0,18-24
2347,PUR-31563,2022-09-28 16:46:09.177924696,82.93,Electronics,Card,Australia,1,1,260.0,25-34
231,PUR-71688,2022-12-30 14:18:50.830802280,297.0,Electronics,PayPal,South America,1,1,141.0,45+
851,PUR-96290,2023-12-17 06:23:17.686027688,256.41,Clothing,PayPal,Europe,1,0,283.0,18-24
52,PUR-32430,2023-05-28 17:49:28.566893584,199.85,Clothing,Bank Transfer,Europe,0,1,,25-34
1747,PUR-95252,2022-06-02 02:49:21.904496892,203.83,Home,Bank Transfer,Australia,1,0,54.0,18-24
297,PUR-76173,2023-12-06 18:20:04.279971368,223.94,Electronics,Crypto,South America,0,1,,35-44
1766,PUR-74985,2022-10-10 10:05:52.638280188,349.53,Books,Bank Transfer,South America,0,1,,25-34
1064,PUR-42848,2022-04-08 19:21:54.020485826,378.62,Sports,Bank Transfer,Australia,0,0,,35-44
83,PUR-74195,2023-03-08 00:14:27.957950176,71.67,Sports,Bank Transfer,Europe,0,1,,35-44
1544,PUR-64573,2022-12-30 15:50:29.112804028,391.23,Electronics,Crypto,Australia,1,0,146.0,35-44
2685,PUR-19969,2023-10-15 08:33:59.138093520,256.24,Electronics,Crypto,Australia,1,0,192.0,25-34
2053,PUR-47908,2022-10-08 08:20:08.161796708,365.51,Electronics,Bank Transfer,North America,1,0,132.0,18-24
2392,PUR-15553,2022-08-11 15:48:12.993150396,397.63,Clothing,Card,Australia,0,0,,45+
207,PUR-87397,2023-02-01 20:09:39.814916632,357.45,Home,Crypto,Asia,0,0,,45+
1972,PUR-19699,2022-02-14 01:43:08.839977519,166.6,Electronics,PayPal,Europe,1,0,149.0,35-44
1525,PUR-89134,2023-01-10 01:16:44.176808924,381.29,Books,Crypto,Europe,0,0,,35-44
650,PUR-29653,2023-12-10 13:24:04.063375056,354.73,Home,PayPal,Australia,1,1,272.0,45+
